23100;3;04001;2010-01-01;9999-12-31;JUBICAJA;2020-01-30;040002
23100;3;04002;2010-01-01;9999-12-31;SALDOS INMOVILIZADOS;2020-01-30;049999
23100;3;05001;2010-01-01;9999-12-31;CUENTA CORRIENTE EN PESOS;2020-01-30;050001
23100;3;05002;2010-01-01;9999-12-31;CUENTA CORRIENTE EN PESOS;2020-01-30;050002
23100;3;05003;2010-01-01;9999-12-31;CUENTA LIBRE DISPONIBILIDAD INDIV.;2020-01-30;050015
23100;3;05004;2010-01-01;9999-12-31;CUENTA CORRIENTE EN PESOS;2020-01-30;051001
23100;3;05005;2010-01-01;9999-12-31;CUENTA CORRIENTE ESPECIAL EN $;2020-01-30;051002
23100;3;05006;2010-01-01;9999-12-31;CTA CTE REMUNERADA EMPRESAS & AGRO;2020-01-30;051004
23100;3;05007;2010-01-01;9999-12-31;CTA REMUNERADA AUTOMATICA EPA;2020-01-30;051007
23100;3;05008;2010-01-01;9999-12-31;CUENTA LIBRE DISPONIBILIDAD PYME;2020-01-30;051015
23100;3;05009;2010-01-01;9999-12-31;CTA ESPECIAL NO RESIDENTES ARS;2020-01-30;051016
23100;3;05010;2010-01-01;9999-12-31;CUENTA CORRIENTE EN PESOS;2020-01-30;052001
23100;3;05011;2010-01-01;9999-12-31;CUENTA CORRIENTE EN PESOS;2020-01-30;052003
23100;3;05012;2010-01-01;9999-12-31;CTA CTE EN PESOS REMUNERADA;2020-01-30;052004
23100;3;05013;2010-01-01;9999-12-31;CUENTA CORRIENTE EN PESOS;2020-01-30;052005
23100;3;05014;2010-01-01;9999-12-31;CTAS CTES EN $ REMUNERDAS;2020-01-30;052007
23100;3;05015;2010-01-01;9999-12-31;CTAS CTES INST £ REMUNERADA;2020-01-30;052008
23100;3;05016;2010-01-01;9999-12-31;CUENTA LIBRE DISPONIBILIDAD CORP.;2020-01-30;052015
23100;3;05017;2010-01-01;9999-12-31;CUENTA CORRIENTE EN PESOS BP;2020-01-30;053001
23100;3;05018;2010-01-01;9999-12-31;BP LEY27260 CTA ESPECIAL FONDOS INMOV $ ;2020-01-30;053002
23100;3;05019;2010-01-01;9999-12-31;BPL27260 CTA ESPECIAL BONOS $           ;2020-01-30;053003
23100;3;05020;2010-01-01;9999-12-31;BPL27260 CTA ESPEC FCI $                ;2020-01-30;053004
23100;3;05021;2010-01-01;9999-12-31;CUENTAS CORRIENTES $ PYM CITI           ;2020-01-30;057777
23100;3;05022;2010-01-01;9999-12-31;CUENTA CORRIENTE EN PESOS;2020-01-30;059999
23100;3;06001;2010-01-01;9999-12-31;CUENTA CORRIENTE EN DOLARES;2020-01-30;060001
23100;3;06002;2010-01-01;9999-12-31;CUENTA CORRIENTE EN DOLARES;2020-01-30;060002
23100;3;06003;2010-01-01;9999-12-31;CUENTA CORRIENTE EN DOLARES;2020-01-30;061001
23100;3;06004;2010-01-01;9999-12-31;CTA CTE ESPECIAL U$S  SIN INTERES;2020-01-30;061002
23100;3;06005;2010-01-01;9999-12-31;CTA ESP NO RESIDENTES U$S;2020-01-30;061016
23100;3;06006;2010-01-01;9999-12-31;CUENTA CORRIENTE EN DOLARES;2020-01-30;062001
23100;3;06007;2010-01-01;9999-12-31;CTA CTE ESPECIAL USD CORP SIN INTERES;2020-01-30;062002
23100;3;06008;2010-01-01;9999-12-31;CTA CTE EN USD REMUNERADA;2020-01-30;062004
23100;3;06009;2010-01-01;9999-12-31;CUENTA CORRIENTE EN DOLARES;2020-01-30;062005
23100;3;06010;2010-01-01;9999-12-31;CUENTA REMUNERADA DOLARES;2020-01-30;062006
23100;3;06011;2010-01-01;9999-12-31;CTAS CTES INST U$S REMUNERADAS          ;2020-01-30;062008
23100;3;06012;2010-01-01;9999-12-31;CUENTA CORRIENTE EN DOLARES BP;2020-01-30;063001
23100;3;06013;2010-01-01;9999-12-31;BPL27260 CTA ESP FOND INMOV US          ;2020-01-30;063002
23100;3;06014;2010-01-01;9999-12-31;BPLEY 27260 CTA ESP BONOS US            ;2020-01-30;063003
23100;3;06015;2010-01-01;9999-12-31;BPLEY 27260 CTA ESP FCI US              ;2020-01-30;063004
23100;3;06016;2010-01-01;9999-12-31;CUENTA CORRIENTE EN DOLARES;2020-01-30;069999
23100;3;07001;2010-01-01;9999-12-31;CUENTAS A LA VISTA;2020-01-30;070001
23100;3;07002;2010-01-01;9999-12-31;CUENTAS A LA VISTA CITI                 ;2020-01-30;077777
23100;3;07003;2010-01-01;9999-12-31;CUENTAS A LA VISTA;2020-01-30;079999
23100;3;08001;2010-01-01;9999-12-31;CUENTA CUSTODIA ESPECIAL INDIVIDUOS;2020-01-30;080001
23100;3;08002;2010-01-01;9999-12-31;CUENTA CUSTODIA ESPECIAL PYMES;2020-01-30;081001
23100;3;08003;2010-01-01;9999-12-31;CUENTA CUSTODIA ESPECIAL CORPORATIVA;2020-01-30;082001
23100;3;14001;2010-01-01;9999-12-31;Fondo de desempleo;2020-01-30;140000
23100;3;15001;2010-01-01;9999-12-31;CUENTA CORRIENTE CON ACUERDO;2020-01-30;150012
23100;3;20001;2010-01-01;9999-12-31;CUSTODIA;2020-01-30;200000
23100;3;20002;2010-01-01;9999-12-31;CUSTODIA $ S/CA;2020-01-30;200010
23100;3;20003;2010-01-01;9999-12-31;CUSTODIA S S/CC;2020-01-30;200012
23100;3;20004;2010-01-01;9999-12-31;CUSTODIA-GARRA;2020-01-30;200030
23100;3;20005;2010-01-01;9999-12-31;CUSTODIA-GARRA;2020-01-30;200031
23100;3;21001;2010-01-01;9999-12-31;CESIONADOS - GARRA - CONFIRMING CLI;2020-01-30;210002
23100;3;21002;2010-01-01;9999-12-31;CESIONADOS - GARRA - CONFIRMING NO CLI;2020-01-30;210004
23100;3;21003;2010-01-01;9999-12-31;CESIONADOS $ CA;2020-01-30;210010
23100;3;21004;2010-01-01;9999-12-31;CESIONADOS USD CA;2020-01-30;210011
23100;3;21005;2010-01-01;9999-12-31;CESIONADOS $ CC;2020-01-30;210012
23100;3;21006;2010-01-01;9999-12-31;CESIONADOS USD CC;2020-01-30;210013
23100;3;21007;2010-01-01;9999-12-31;NEGOCIADOS U$S - GARRA;2020-01-30;210030
23100;3;21008;2010-01-01;9999-12-31;CESIONADOS U$S - GARRA;2020-01-30;210031
23100;3;23001;2010-01-01;9999-12-31;NEGOCIADOS $ S/CA;2020-01-30;230010
23100;3;23002;2010-01-01;9999-12-31;NEGOCIADOS USD S/CA;2020-01-30;230011
23100;3;23003;2010-01-01;9999-12-31;NEGOCIADOS $ S/CC;2020-01-30;230012
23100;3;23004;2010-01-01;9999-12-31;NEGOCIADOS USD S/CC;2020-01-30;230013
23100;3;25001;2010-01-01;9999-12-31;CESIONADOS - GARRA - CONFIRMING CLI     ;2020-01-30;250002
23100;3;25002;2010-01-01;9999-12-31;CESIONADOS - GARRA - CONFIRMING NO CLI  ;2020-01-30;250004
23100;3;25003;2010-01-01;9999-12-31;CONFIRMING CHEQUE PROPIO                ;2020-01-30;250005
23100;3;25004;2010-01-01;9999-12-31;CONFIRMING CHEQUE OTRO BANCO            ;2020-01-30;250006
23100;3;25005;2010-01-01;9999-12-31;PRODUCTO DESCONOCIDO;2020-01-30;250012
23100;3;29001;2010-01-01;9999-12-31;FINANC. AUTO VAR. $;2020-01-30;291120
